LayerName,Type,Group,EnclaveTime_mean,EnclaveTime_std,EnclaveTime_min,EnclaveTime_max,EnclaveTime_p95,EnclaveTime_p99,CPUTime_mean,CPUTime_std,CPUTime_min,CPUTime_max,InputBytes,OutputBytes,InputShape,OutputShape,Dependencies,NumIterations
input,SecretInputLayer,Stem-Part1,0.0013,0.0002,0.001,0.0016,0.0016,0.0016,0,0,0,0,0,1072812,[],"[1, 3, 299, 299]",,10
stem_conv1,SGXConvBase,Stem-Part1,42.8556,0.5907,42.4521,44.5853,43.818,44.4319,0,0,0,0,1072812,2841728,"[1, 3, 299, 299]","[1, 32, 149, 149]",input,10
stem_relu1,SecretReLULayer,Stem-Part1,1.6777,0.038,1.6113,1.7293,1.7283,1.7291,0,0,0,0,2841728,2841728,"[1, 32, 149, 149]","[1, 32, 149, 149]",stem_conv1,10
stem_conv2,SGXConvBase,Stem-Part1,56.3204,2.4006,54.4951,61.7265,61.0881,61.5988,0,0,0,0,2841728,2765952,"[1, 32, 149, 149]","[1, 32, 147, 147]",stem_relu1,10
stem_relu2,SecretReLULayer,Stem-Part1,1.9733,0.9462,1.6155,4.8101,3.4298,4.534,0,0,0,0,2765952,2765952,"[1, 32, 147, 147]","[1, 32, 147, 147]",stem_conv2,10
stem_conv3,SGXConvBase,Stem-Part2,113.7894,1.9043,112.3389,118.7054,117.3161,118.4276,0,0,0,0,2765952,5531904,"[1, 32, 147, 147]","[1, 64, 147, 147]",stem_relu2,10
stem_relu3,SecretReLULayer,Stem-Part2,3.3266,0.0888,3.2017,3.5191,3.4653,3.5084,0,0,0,0,5531904,5531904,"[1, 64, 147, 147]","[1, 64, 147, 147]",stem_conv3,10
stem_pool1,SecretMaxpool2dLayer,Stem-Part2,8.9677,0.1089,8.8273,9.1353,9.128,9.1338,0,0,0,0,5531904,1364224,"[1, 64, 147, 147]","[1, 64, 73, 73]",stem_relu3,10
stem_conv4,SGXConvBase,Stem-Part3,26.795,0.327,26.3931,27.6191,27.3315,27.5616,0,0,0,0,1364224,1705280,"[1, 64, 73, 73]","[1, 80, 73, 73]",stem_pool1,10
stem_relu4,SecretReLULayer,Stem-Part3,1.0729,0.0217,1.0386,1.1102,1.102,1.1086,0,0,0,0,1705280,1705280,"[1, 80, 73, 73]","[1, 80, 73, 73]",stem_conv4,10
stem_conv5,SGXConvBase,Stem-Part3,112.2655,1.8982,110.4393,116.2731,115.9187,116.2022,0,0,0,0,1705280,3871488,"[1, 80, 73, 73]","[1, 192, 71, 71]",stem_relu4,10
stem_relu5,SecretReLULayer,Stem-Part3,2.3453,0.1912,2.2373,2.8996,2.6829,2.8562,0,0,0,0,3871488,3871488,"[1, 192, 71, 71]","[1, 192, 71, 71]",stem_conv5,10
stem_pool2,SecretMaxpool2dLayer,Stem-Part4,0.1226,0.0128,0.0985,0.1374,0.1369,0.1373,0,0,0,0,3871488,940800,"[1, 192, 71, 71]","[1, 192, 35, 35]",stem_relu5,10
inception_a1_b1_1x1,SGXConvBase,Inception-A1,13.7583,0.4116,13.5347,14.962,14.4516,14.8599,0,0,0,0,940800,313600,"[1, 192, 35, 35]","[1, 64, 35, 35]",stem_pool2,10
inception_a1_b1_relu,SecretReLULayer,Inception-A1,0.3161,0.0206,0.2909,0.3702,0.35,0.3662,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a1_b1_1x1,10
inception_a1_b2_1x1,SGXConvBase,Inception-A1,14.0064,1.2819,13.2643,17.5529,16.4208,17.3265,0,0,0,0,940800,313600,"[1, 192, 35, 35]","[1, 64, 35, 35]",stem_pool2,10
inception_a1_b2_relu1,SecretReLULayer,Inception-A1,0.3081,0.0394,0.2742,0.4087,0.3808,0.4031,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a1_b2_1x1,10
inception_a1_b2_3x3,SGXConvBase,Inception-A1,17.2299,1.484,16.5132,21.6526,19.6131,21.2447,0,0,0,0,313600,470400,"[1, 64, 35, 35]","[1, 96, 35, 35]",inception_a1_b2_relu1,10
inception_a1_b2_relu2,SecretReLULayer,Inception-A1,0.3952,0.0296,0.3613,0.475,0.4436,0.4687,0,0,0,0,470400,470400,"[1, 96, 35, 35]","[1, 96, 35, 35]",inception_a1_b2_3x3,10
inception_a1_b3_1x1,SGXConvBase,Inception-A1,5.2596,0.9059,4.9033,7.9762,6.6373,7.7084,0,0,0,0,940800,235200,"[1, 192, 35, 35]","[1, 48, 35, 35]",stem_pool2,10
inception_a1_b3_relu1,SecretReLULayer,Inception-A1,0.2717,0.0179,0.2406,0.305,0.2986,0.3037,0,0,0,0,235200,235200,"[1, 48, 35, 35]","[1, 48, 35, 35]",inception_a1_b3_1x1,10
inception_a1_b3_3x3_1,SGXConvBase,Inception-A1,2.8397,0.5309,2.5764,4.4101,3.7319,4.2744,0,0,0,0,235200,313600,"[1, 48, 35, 35]","[1, 64, 35, 35]",inception_a1_b3_relu1,10
inception_a1_b3_relu2,SecretReLULayer,Inception-A1,0.3039,0.0329,0.2581,0.379,0.3556,0.3743,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a1_b3_3x3_1,10
inception_a1_b3_3x3_2,SGXConvBase,Inception-A1,10.0627,0.6668,9.6084,11.6218,11.3907,11.5755,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a1_b3_relu2,10
inception_a1_b3_relu3,SecretReLULayer,Inception-A1,0.3114,0.0221,0.2765,0.3446,0.3443,0.3445,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a1_b3_3x3_2,10
inception_a1_b4_pool,SecretMaxpool2dLayer,Inception-A1,0.1108,0.006,0.0987,0.1223,0.1196,0.1218,0,0,0,0,940800,940800,"[1, 192, 35, 35]","[1, 192, 35, 35]",stem_pool2,10
inception_a1_b4_1x1,SGXConvBase,Inception-A1,4.6632,0.4562,4.3373,5.6,5.567,5.5934,0,0,0,0,940800,156800,"[1, 192, 35, 35]","[1, 32, 35, 35]",inception_a1_b4_pool,10
inception_a1_b4_relu,SecretReLULayer,Inception-A1,0.2107,0.0326,0.1708,0.2925,0.2689,0.2878,0,0,0,0,156800,156800,"[1, 32, 35, 35]","[1, 32, 35, 35]",inception_a1_b4_1x1,10
inception_a1_concat,SecretConcatenateLayer,Inception-A1,0.2355,0.0149,0.2119,0.2601,0.2582,0.2597,0,0,0,0,0,1254400,[],"[1, 256, 35, 35]",inception_a1_b1_relu;inception_a1_b2_relu2;inception_a1_b3_relu3;inception_a1_b4_relu,10
inception_a2_b1_1x1,SGXConvBase,Inception-A2,14.3856,0.1204,14.1771,14.5493,14.536,14.5466,0,0,0,0,1254400,313600,"[1, 256, 35, 35]","[1, 64, 35, 35]",inception_a1_concat,10
inception_a2_b1_relu,SecretReLULayer,Inception-A2,0.2902,0.0214,0.2682,0.3406,0.3244,0.3374,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a2_b1_1x1,10
inception_a2_b2_1x1,SGXConvBase,Inception-A2,15.3078,0.1813,15.0819,15.637,15.6288,15.6353,0,0,0,0,1254400,313600,"[1, 256, 35, 35]","[1, 64, 35, 35]",inception_a1_concat,10
inception_a2_b2_relu1,SecretReLULayer,Inception-A2,0.3013,0.023,0.2713,0.3383,0.3356,0.3377,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a2_b2_1x1,10
inception_a2_b2_3x3,SGXConvBase,Inception-A2,16.6077,0.1353,16.4388,16.9192,16.8297,16.9013,0,0,0,0,313600,470400,"[1, 64, 35, 35]","[1, 96, 35, 35]",inception_a2_b2_relu1,10
inception_a2_b2_relu2,SecretReLULayer,Inception-A2,0.3882,0.0209,0.366,0.4391,0.4239,0.436,0,0,0,0,470400,470400,"[1, 96, 35, 35]","[1, 96, 35, 35]",inception_a2_b2_3x3,10
inception_a2_b3_1x1,SGXConvBase,Inception-A2,12.2447,0.2787,11.9989,12.872,12.777,12.853,0,0,0,0,1254400,235200,"[1, 256, 35, 35]","[1, 48, 35, 35]",inception_a1_concat,10
inception_a2_b3_relu1,SecretReLULayer,Inception-A2,0.2504,0.0209,0.2237,0.2904,0.2887,0.29,0,0,0,0,235200,235200,"[1, 48, 35, 35]","[1, 48, 35, 35]",inception_a2_b3_1x1,10
inception_a2_b3_3x3_1,SGXConvBase,Inception-A2,7.5697,0.0422,7.5128,7.6517,7.6376,7.6489,0,0,0,0,235200,313600,"[1, 48, 35, 35]","[1, 64, 35, 35]",inception_a2_b3_relu1,10
inception_a2_b3_relu2,SecretReLULayer,Inception-A2,0.2952,0.0201,0.2625,0.3261,0.3196,0.3248,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a2_b3_3x3_1,10
inception_a2_b3_3x3_2,SGXConvBase,Inception-A2,9.6837,0.0769,9.5292,9.8248,9.7901,9.8179,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a2_b3_relu2,10
inception_a2_b3_relu3,SecretReLULayer,Inception-A2,0.3048,0.0206,0.265,0.3422,0.3356,0.3409,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a2_b3_3x3_2,10
inception_a2_b4_pool,SecretMaxpool2dLayer,Inception-A2,0.3898,0.0172,0.3598,0.4125,0.4116,0.4123,0,0,0,0,1254400,1254400,"[1, 256, 35, 35]","[1, 256, 35, 35]",inception_a1_concat,10
inception_a2_b4_1x1,SGXConvBase,Inception-A2,5.6251,0.0692,5.5428,5.7505,5.7494,5.7503,0,0,0,0,1254400,156800,"[1, 256, 35, 35]","[1, 32, 35, 35]",inception_a2_b4_pool,10
inception_a2_b4_relu,SecretReLULayer,Inception-A2,0.1911,0.0076,0.1818,0.2066,0.205,0.2063,0,0,0,0,156800,156800,"[1, 32, 35, 35]","[1, 32, 35, 35]",inception_a2_b4_1x1,10
inception_a2_concat,SecretConcatenateLayer,Inception-A2,0.2189,0.0078,0.2053,0.2352,0.2309,0.2344,0,0,0,0,0,1254400,[],"[1, 256, 35, 35]",inception_a2_b1_relu;inception_a2_b2_relu2;inception_a2_b3_relu3;inception_a2_b4_relu,10
inception_a3_b1_1x1,SGXConvBase,Inception-A3,13.5896,0.3317,13.2759,14.3417,14.1785,14.3091,0,0,0,0,1254400,313600,"[1, 256, 35, 35]","[1, 64, 35, 35]",inception_a2_concat,10
inception_a3_b1_relu,SecretReLULayer,Inception-A3,0.2981,0.0093,0.2832,0.3127,0.3113,0.3125,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a3_b1_1x1,10
inception_a3_b2_1x1,SGXConvBase,Inception-A3,15.2736,0.1375,15.1139,15.479,15.4766,15.4785,0,0,0,0,1254400,313600,"[1, 256, 35, 35]","[1, 64, 35, 35]",inception_a2_concat,10
inception_a3_b2_relu1,SecretReLULayer,Inception-A3,0.2843,0.013,0.2599,0.3047,0.301,0.304,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a3_b2_1x1,10
inception_a3_b2_3x3,SGXConvBase,Inception-A3,16.5694,0.1288,16.414,16.8107,16.7787,16.8043,0,0,0,0,313600,470400,"[1, 64, 35, 35]","[1, 96, 35, 35]",inception_a3_b2_relu1,10
inception_a3_b2_relu2,SecretReLULayer,Inception-A3,0.3865,0.0212,0.3526,0.4178,0.4151,0.4172,0,0,0,0,470400,470400,"[1, 96, 35, 35]","[1, 96, 35, 35]",inception_a3_b2_3x3,10
inception_a3_b3_1x1,SGXConvBase,Inception-A3,12.1506,0.129,11.9983,12.3773,12.3699,12.3758,0,0,0,0,1254400,235200,"[1, 256, 35, 35]","[1, 48, 35, 35]",inception_a2_concat,10
inception_a3_b3_relu1,SecretReLULayer,Inception-A3,0.2331,0.0135,0.2124,0.2594,0.2532,0.2582,0,0,0,0,235200,235200,"[1, 48, 35, 35]","[1, 48, 35, 35]",inception_a3_b3_1x1,10
inception_a3_b3_3x3_1,SGXConvBase,Inception-A3,7.6155,0.0524,7.5232,7.7074,7.6925,7.7044,0,0,0,0,235200,313600,"[1, 48, 35, 35]","[1, 64, 35, 35]",inception_a3_b3_relu1,10
inception_a3_b3_relu2,SecretReLULayer,Inception-A3,0.2802,0.009,0.2652,0.2941,0.2913,0.2936,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a3_b3_3x3_1,10
inception_a3_b3_3x3_2,SGXConvBase,Inception-A3,9.7464,0.2995,9.5561,10.6209,10.2422,10.5452,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a3_b3_relu2,10
inception_a3_b3_relu3,SecretReLULayer,Inception-A3,0.2926,0.0255,0.2679,0.3487,0.3391,0.3468,0,0,0,0,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a3_b3_3x3_2,10
inception_a3_b4_pool,SecretMaxpool2dLayer,Inception-A3,0.3997,0.0401,0.3681,0.5145,0.4682,0.5053,0,0,0,0,1254400,1254400,"[1, 256, 35, 35]","[1, 256, 35, 35]",inception_a2_concat,10
inception_a3_b4_1x1,SGXConvBase,Inception-A3,5.6954,0.2538,5.5241,6.4346,6.1154,6.3708,0,0,0,0,1254400,156800,"[1, 256, 35, 35]","[1, 32, 35, 35]",inception_a3_b4_pool,10
inception_a3_b4_relu,SecretReLULayer,Inception-A3,0.1939,0.0126,0.1724,0.213,0.2125,0.2129,0,0,0,0,156800,156800,"[1, 32, 35, 35]","[1, 32, 35, 35]",inception_a3_b4_1x1,10
inception_a3_concat,SecretConcatenateLayer,Inception-A3,0.2306,0.0195,0.2097,0.2645,0.2618,0.2639,0,0,0,0,0,1254400,[],"[1, 256, 35, 35]",inception_a3_b1_relu;inception_a3_b2_relu2;inception_a3_b3_relu3;inception_a3_b4_relu,10
reduction_a_b1_3x3,SGXConvBase,Reduction-A,60.2786,1.9439,59.048,65.9829,63.5245,65.4912,0,0,0,0,1254400,443904,"[1, 256, 35, 35]","[1, 384, 17, 17]",inception_a3_concat,10
reduction_a_b1_relu,SecretReLULayer,Reduction-A,0.3848,0.0201,0.3485,0.4163,0.4155,0.4161,0,0,0,0,443904,443904,"[1, 384, 17, 17]","[1, 384, 17, 17]",reduction_a_b1_3x3,10
reduction_a_b2_1x1,SGXConvBase,Reduction-A,18.9665,0.2909,18.6439,19.5589,19.4702,19.5412,0,0,0,0,1254400,940800,"[1, 256, 35, 35]","[1, 192, 35, 35]",inception_a3_concat,10
reduction_a_b2_relu1,SecretReLULayer,Reduction-A,0.6513,0.0264,0.6114,0.6842,0.6841,0.6842,0,0,0,0,940800,940800,"[1, 192, 35, 35]","[1, 192, 35, 35]",reduction_a_b2_1x1,10
reduction_a_b2_3x3,SGXConvBase,Reduction-A,38.3495,0.2418,37.9587,38.7113,38.6653,38.7021,0,0,0,0,940800,940800,"[1, 192, 35, 35]","[1, 192, 35, 35]",reduction_a_b2_relu1,10
reduction_a_b2_relu2,SecretReLULayer,Reduction-A,0.6524,0.0185,0.6258,0.6916,0.6817,0.6896,0,0,0,0,940800,940800,"[1, 192, 35, 35]","[1, 192, 35, 35]",reduction_a_b2_3x3,10
reduction_a_b2_3x3_stride2,SGXConvBase,Reduction-A,46.2196,0.2618,45.968,46.7904,46.6667,46.7657,0,0,0,0,940800,443904,"[1, 192, 35, 35]","[1, 384, 17, 17]",reduction_a_b2_relu2,10
reduction_a_b2_relu3,SecretReLULayer,Reduction-A,0.3882,0.0285,0.3526,0.4578,0.4373,0.4537,0,0,0,0,443904,443904,"[1, 384, 17, 17]","[1, 384, 17, 17]",reduction_a_b2_3x3_stride2,10
reduction_a_b3_pool,SecretMaxpool2dLayer,Reduction-A,0.4586,0.0546,0.4077,0.6113,0.5562,0.6003,0,0,0,0,1254400,295936,"[1, 256, 35, 35]","[1, 256, 17, 17]",inception_a3_concat,10
reduction_a_concat,SecretConcatenateLayer,Reduction-A,0.2223,0.0167,0.1979,0.2573,0.2493,0.2557,0,0,0,0,0,1183744,[],"[1, 1024, 17, 17]",reduction_a_b1_relu;reduction_a_b2_relu3;reduction_a_b3_pool,10
inception_b1_b1_1x1,SGXConvBase,Inception-B1,18.5449,0.2397,18.2714,18.9379,18.9271,18.9357,0,0,0,0,1183744,221952,"[1, 1024, 17, 17]","[1, 192, 17, 17]",reduction_a_concat,10
inception_b1_b1_relu,SecretReLULayer,Inception-B1,0.2361,0.0132,0.2146,0.2538,0.2531,0.2537,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b1_b1_1x1,10
inception_b1_b2_1x1,SGXConvBase,Inception-B1,15.7754,0.1119,15.615,15.9851,15.9411,15.9763,0,0,0,0,1183744,147968,"[1, 1024, 17, 17]","[1, 128, 17, 17]",reduction_a_concat,10
inception_b1_b2_relu1,SecretReLULayer,Inception-B1,0.1956,0.0139,0.1667,0.2168,0.2141,0.2163,0,0,0,0,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",inception_b1_b2_1x1,10
inception_b1_b2_3x3,SGXConvBase,Inception-B1,8.1984,0.9202,7.8021,10.9527,9.6316,10.6885,0,0,0,0,147968,221952,"[1, 128, 17, 17]","[1, 192, 17, 17]",inception_b1_b2_relu1,10
inception_b1_b2_relu2,SecretReLULayer,Inception-B1,0.2348,0.0179,0.2047,0.2652,0.2602,0.2642,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b1_b2_3x3,10
inception_b1_b3_1x1,SGXConvBase,Inception-B1,10.538,0.1056,10.3841,10.7706,10.7136,10.7592,0,0,0,0,1183744,147968,"[1, 1024, 17, 17]","[1, 128, 17, 17]",reduction_a_concat,10
inception_b1_b3_relu1,SecretReLULayer,Inception-B1,0.1868,0.0245,0.1604,0.2401,0.2274,0.2375,0,0,0,0,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",inception_b1_b3_1x1,10
inception_b1_b3_3x3_1,SGXConvBase,Inception-B1,7.8906,0.0597,7.7902,8.005,7.9767,7.9994,0,0,0,0,147968,221952,"[1, 128, 17, 17]","[1, 192, 17, 17]",inception_b1_b3_relu1,10
inception_b1_b3_relu2,SecretReLULayer,Inception-B1,0.2243,0.0139,0.2007,0.2519,0.2445,0.2505,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b1_b3_3x3_1,10
inception_b1_b3_3x3_2,SGXConvBase,Inception-B1,10.6628,0.074,10.5738,10.7838,10.7716,10.7814,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b1_b3_relu2,10
inception_b1_b3_relu3,SecretReLULayer,Inception-B1,0.2267,0.0155,0.202,0.2568,0.252,0.2559,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b1_b3_3x3_2,10
inception_b1_b4_pool,SecretMaxpool2dLayer,Inception-B1,0.3726,0.0236,0.3348,0.4117,0.4059,0.4105,0,0,0,0,1183744,1183744,"[1, 1024, 17, 17]","[1, 1024, 17, 17]",reduction_a_concat,10
inception_b1_b4_1x1,SGXConvBase,Inception-B1,17.7978,0.1032,17.5843,17.9366,17.9267,17.9346,0,0,0,0,1183744,221952,"[1, 1024, 17, 17]","[1, 192, 17, 17]",inception_b1_b4_pool,10
inception_b1_b4_relu,SecretReLULayer,Inception-B1,0.2282,0.0171,0.2047,0.261,0.256,0.26,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b1_b4_1x1,10
inception_b1_concat,SecretConcatenateLayer,Inception-B1,0.189,0.0102,0.1732,0.206,0.2018,0.2052,0,0,0,0,0,887808,[],"[1, 768, 17, 17]",inception_b1_b1_relu;inception_b1_b2_relu2;inception_b1_b3_relu3;inception_b1_b4_relu,10
inception_b2_b1_1x1,SGXConvBase,Inception-B2,17.7478,1.2652,17.2314,21.5369,19.6923,21.168,0,0,0,0,887808,221952,"[1, 768, 17, 17]","[1, 192, 17, 17]",inception_b1_concat,10
inception_b2_b1_relu,SecretReLULayer,Inception-B2,0.2409,0.0266,0.2119,0.3108,0.2847,0.3056,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b2_b1_1x1,10
