LayerName,Type,Group,EnclaveTime_mean,EnclaveTime_std,EnclaveTime_min,EnclaveTime_max,EnclaveTime_p95,EnclaveTime_p99,CPUTime_mean,CPUTime_std,CPUTime_min,CPUTime_max,InputBytes,OutputBytes,InputShape,OutputShape,Dependencies,NumIterations
inception_b2_b2_1x1,SGXConvBase,Inception-B2,7.7919,0.7141,7.4463,9.927,8.9056,9.7227,0,0,0,0,887808,147968,"[1, 768, 17, 17]","[1, 128, 17, 17]",inception_b1_concat,10
inception_b2_b2_relu1,SecretReLULayer,Inception-B2,0.1817,0.0215,0.1636,0.233,0.2172,0.2298,0,0,0,0,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",inception_b2_b2_1x1,10
inception_b2_b2_3x3,SGXConvBase,Inception-B2,2.6762,0.0437,2.6282,2.775,2.7539,2.7708,0,0,0,0,147968,221952,"[1, 128, 17, 17]","[1, 192, 17, 17]",inception_b2_b2_relu1,10
inception_b2_b2_relu2,SecretReLULayer,Inception-B2,0.2302,0.0173,0.2103,0.2578,0.2574,0.2577,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b2_b2_3x3,10
inception_b2_b3_1x1,SGXConvBase,Inception-B2,2.3093,0.0944,2.2085,2.5496,2.4628,2.5322,0,0,0,0,887808,147968,"[1, 768, 17, 17]","[1, 128, 17, 17]",inception_b1_concat,10
inception_b2_b3_relu1,SecretReLULayer,Inception-B2,0.1814,0.0169,0.161,0.2145,0.2062,0.2129,0,0,0,0,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",inception_b2_b3_1x1,10
inception_b2_b3_3x3_1,SGXConvBase,Inception-B2,2.6097,0.0518,2.5139,2.6799,2.6794,2.6798,0,0,0,0,147968,221952,"[1, 128, 17, 17]","[1, 192, 17, 17]",inception_b2_b3_relu1,10
inception_b2_b3_relu2,SecretReLULayer,Inception-B2,0.2286,0.0108,0.2045,0.2451,0.2447,0.2451,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b2_b3_3x3_1,10
inception_b2_b3_3x3_2,SGXConvBase,Inception-B2,10.754,0.0651,10.6372,10.9073,10.8495,10.8958,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b2_b3_relu2,10
inception_b2_b3_relu3,SecretReLULayer,Inception-B2,0.2345,0.0103,0.2102,0.2544,0.2477,0.253,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b2_b3_3x3_2,10
inception_b2_b4_pool,SecretMaxpool2dLayer,Inception-B2,0.3274,0.0202,0.2994,0.3563,0.3557,0.3562,0,0,0,0,887808,887808,"[1, 768, 17, 17]","[1, 768, 17, 17]",inception_b1_concat,10
inception_b2_b4_1x1,SGXConvBase,Inception-B2,14.6537,0.189,14.4283,15.0815,14.9694,15.0591,0,0,0,0,887808,221952,"[1, 768, 17, 17]","[1, 192, 17, 17]",inception_b2_b4_pool,10
inception_b2_b4_relu,SecretReLULayer,Inception-B2,0.2444,0.0244,0.2087,0.2851,0.2826,0.2846,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b2_b4_1x1,10
inception_b2_concat,SecretConcatenateLayer,Inception-B2,0.2023,0.0191,0.1781,0.2451,0.2323,0.2426,0,0,0,0,0,887808,[],"[1, 768, 17, 17]",inception_b2_b1_relu;inception_b2_b2_relu2;inception_b2_b3_relu3;inception_b2_b4_relu,10
inception_b3_b1_1x1,SGXConvBase,Inception-B3,17.3296,0.5138,16.8705,18.6711,18.285,18.5939,0,0,0,0,887808,221952,"[1, 768, 17, 17]","[1, 192, 17, 17]",inception_b2_concat,10
inception_b3_b1_relu,SecretReLULayer,Inception-B3,0.242,0.0362,0.2068,0.3415,0.3048,0.3341,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b3_b1_1x1,10
inception_b3_b2_1x1,SGXConvBase,Inception-B3,7.702,0.296,7.4474,8.5358,8.189,8.4665,0,0,0,0,887808,147968,"[1, 768, 17, 17]","[1, 128, 17, 17]",inception_b2_concat,10
inception_b3_b2_relu1,SecretReLULayer,Inception-B3,0.1866,0.0106,0.1759,0.2116,0.205,0.2103,0,0,0,0,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",inception_b3_b2_1x1,10
inception_b3_b2_3x3,SGXConvBase,Inception-B3,2.7753,0.096,2.6371,2.9091,2.9008,2.9075,0,0,0,0,147968,221952,"[1, 128, 17, 17]","[1, 192, 17, 17]",inception_b3_b2_relu1,10
inception_b3_b2_relu2,SecretReLULayer,Inception-B3,0.2276,0.0167,0.2087,0.2666,0.2547,0.2642,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b3_b2_3x3,10
inception_b3_b3_1x1,SGXConvBase,Inception-B3,2.292,0.1343,2.138,2.5921,2.5448,2.5826,0,0,0,0,887808,147968,"[1, 768, 17, 17]","[1, 128, 17, 17]",inception_b2_concat,10
inception_b3_b3_relu1,SecretReLULayer,Inception-B3,0.197,0.0297,0.1645,0.2654,0.2426,0.2609,0,0,0,0,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",inception_b3_b3_1x1,10
inception_b3_b3_3x3_1,SGXConvBase,Inception-B3,2.7602,0.3766,2.5676,3.8585,3.4206,3.7709,0,0,0,0,147968,221952,"[1, 128, 17, 17]","[1, 192, 17, 17]",inception_b3_b3_relu1,10
inception_b3_b3_relu2,SecretReLULayer,Inception-B3,0.2318,0.028,0.2031,0.3049,0.28,0.2999,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b3_b3_3x3_1,10
inception_b3_b3_3x3_2,SGXConvBase,Inception-B3,10.916,0.9681,10.4428,13.8076,12.4145,13.529,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b3_b3_relu2,10
inception_b3_b3_relu3,SecretReLULayer,Inception-B3,0.2408,0.0395,0.2025,0.3505,0.3061,0.3416,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b3_b3_3x3_2,10
inception_b3_b4_pool,SecretMaxpool2dLayer,Inception-B3,0.3394,0.0483,0.299,0.4687,0.4226,0.4595,0,0,0,0,887808,887808,"[1, 768, 17, 17]","[1, 768, 17, 17]",inception_b2_concat,10
inception_b3_b4_1x1,SGXConvBase,Inception-B3,14.6356,0.329,14.2327,15.3963,15.1812,15.3533,0,0,0,0,887808,221952,"[1, 768, 17, 17]","[1, 192, 17, 17]",inception_b3_b4_pool,10
inception_b3_b4_relu,SecretReLULayer,Inception-B3,0.2244,0.0148,0.2015,0.2423,0.24,0.2418,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b3_b4_1x1,10
inception_b3_concat,SecretConcatenateLayer,Inception-B3,0.1881,0.0168,0.1662,0.2192,0.2153,0.2185,0,0,0,0,0,887808,[],"[1, 768, 17, 17]",inception_b3_b1_relu;inception_b3_b2_relu2;inception_b3_b3_relu3;inception_b3_b4_relu,10
inception_b4_b1_1x1,SGXConvBase,Inception-B4,15.8033,0.2671,15.5155,16.3249,16.3066,16.3212,0,0,0,0,887808,221952,"[1, 768, 17, 17]","[1, 192, 17, 17]",inception_b3_concat,10
inception_b4_b1_relu,SecretReLULayer,Inception-B4,0.2432,0.014,0.2181,0.2671,0.2656,0.2668,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b4_b1_1x1,10
inception_b4_b2_1x1,SGXConvBase,Inception-B4,7.6808,0.1871,7.412,8.0684,8.0128,8.0573,0,0,0,0,887808,147968,"[1, 768, 17, 17]","[1, 128, 17, 17]",inception_b3_concat,10
inception_b4_b2_relu1,SecretReLULayer,Inception-B4,0.1898,0.0288,0.1584,0.2553,0.234,0.2511,0,0,0,0,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",inception_b4_b2_1x1,10
inception_b4_b2_3x3,SGXConvBase,Inception-B4,2.9424,0.347,2.6348,3.8951,3.5291,3.8219,0,0,0,0,147968,221952,"[1, 128, 17, 17]","[1, 192, 17, 17]",inception_b4_b2_relu1,10
inception_b4_b2_relu2,SecretReLULayer,Inception-B4,0.2533,0.0244,0.213,0.3031,0.2876,0.3,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b4_b2_3x3,10
inception_b4_b3_1x1,SGXConvBase,Inception-B4,2.3328,0.263,2.1468,3.098,2.7612,3.0306,0,0,0,0,887808,147968,"[1, 768, 17, 17]","[1, 128, 17, 17]",inception_b3_concat,10
inception_b4_b3_relu1,SecretReLULayer,Inception-B4,0.2066,0.0259,0.1588,0.2319,0.2307,0.2316,0,0,0,0,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",inception_b4_b3_1x1,10
inception_b4_b3_3x3_1,SGXConvBase,Inception-B4,2.8297,0.3072,2.5375,3.6781,3.3707,3.6167,0,0,0,0,147968,221952,"[1, 128, 17, 17]","[1, 192, 17, 17]",inception_b4_b3_relu1,10
inception_b4_b3_relu2,SecretReLULayer,Inception-B4,0.2432,0.0282,0.1994,0.2896,0.2846,0.2886,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b4_b3_3x3_1,10
inception_b4_b3_3x3_2,SGXConvBase,Inception-B4,10.9583,0.2045,10.6346,11.4205,11.2662,11.3897,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b4_b3_relu2,10
inception_b4_b3_relu3,SecretReLULayer,Inception-B4,0.2455,0.018,0.2007,0.2605,0.2601,0.2604,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b4_b3_3x3_2,10
inception_b4_b4_pool,SecretMaxpool2dLayer,Inception-B4,0.3478,0.0467,0.2814,0.4626,0.4198,0.454,0,0,0,0,887808,887808,"[1, 768, 17, 17]","[1, 768, 17, 17]",inception_b3_concat,10
inception_b4_b4_1x1,SGXConvBase,Inception-B4,14.9782,0.4643,14.5162,15.9804,15.8276,15.9498,0,0,0,0,887808,221952,"[1, 768, 17, 17]","[1, 192, 17, 17]",inception_b4_b4_pool,10
inception_b4_b4_relu,SecretReLULayer,Inception-B4,0.2367,0.0198,0.2032,0.2686,0.2651,0.2679,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b4_b4_1x1,10
inception_b4_concat,SecretConcatenateLayer,Inception-B4,0.189,0.0162,0.1592,0.2114,0.2102,0.2111,0,0,0,0,0,887808,[],"[1, 768, 17, 17]",inception_b4_b1_relu;inception_b4_b2_relu2;inception_b4_b3_relu3;inception_b4_b4_relu,10
reduction_b_b1_3x3,SGXConvBase,Reduction-B,66.7394,2.2365,65.5104,73.3845,70.2957,72.7667,0,0,0,0,887808,49152,"[1, 768, 17, 17]","[1, 192, 8, 8]",inception_b4_concat,10
reduction_b_b1_relu,SecretReLULayer,Reduction-B,0.1398,0.0127,0.1222,0.167,0.1601,0.1656,0,0,0,0,49152,49152,"[1, 192, 8, 8]","[1, 192, 8, 8]",reduction_b_b1_3x3,10
reduction_b_b2_1x1,SGXConvBase,Reduction-B,13.3369,0.1339,13.124,13.593,13.5465,13.5837,0,0,0,0,887808,221952,"[1, 768, 17, 17]","[1, 192, 17, 17]",inception_b4_concat,10
reduction_b_b2_relu1,SecretReLULayer,Reduction-B,0.238,0.0287,0.211,0.2928,0.2894,0.2921,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",reduction_b_b2_1x1,10
reduction_b_b2_3x3,SGXConvBase,Reduction-B,15.8407,0.0622,15.7583,15.9444,15.9342,15.9424,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",reduction_b_b2_relu1,10
reduction_b_b2_relu2,SecretReLULayer,Reduction-B,0.2252,0.0145,0.2111,0.2504,0.2479,0.2499,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",reduction_b_b2_3x3,10
reduction_b_b2_3x3_stride2,SGXConvBase,Reduction-B,28.429,0.2055,28.2207,28.8306,28.7369,28.8119,0,0,0,0,221952,81920,"[1, 192, 17, 17]","[1, 320, 8, 8]",reduction_b_b2_relu2,10
reduction_b_b2_relu3,SecretReLULayer,Reduction-B,0.159,0.0228,0.1348,0.2066,0.1969,0.2046,0,0,0,0,81920,81920,"[1, 320, 8, 8]","[1, 320, 8, 8]",reduction_b_b2_3x3_stride2,10
reduction_b_b3_pool,SecretMaxpool2dLayer,Reduction-B,0.3337,0.0159,0.3121,0.3599,0.3553,0.359,0,0,0,0,887808,196608,"[1, 768, 17, 17]","[1, 768, 8, 8]",inception_b4_concat,10
reduction_b_concat,SecretConcatenateLayer,Reduction-B,0.141,0.0072,0.1318,0.1521,0.1513,0.1519,0,0,0,0,0,327680,[],"[1, 1280, 8, 8]",reduction_b_b1_relu;reduction_b_b2_relu3;reduction_b_b3_pool,10
inception_c1_b1_1x1,SGXConvBase,Inception-C1,10.16,0.1434,9.9958,10.4859,10.4034,10.4694,0,0,0,0,327680,81920,"[1, 1280, 8, 8]","[1, 320, 8, 8]",reduction_b_concat,10
inception_c1_b1_relu,SecretReLULayer,Inception-C1,0.1374,0.0077,0.1243,0.1511,0.1504,0.151,0,0,0,0,81920,81920,"[1, 320, 8, 8]","[1, 320, 8, 8]",inception_c1_b1_1x1,10
inception_c1_b2_1x1,SGXConvBase,Inception-C1,15.9527,0.8728,15.51,18.5421,17.3544,18.3046,0,0,0,0,327680,98304,"[1, 1280, 8, 8]","[1, 384, 8, 8]",reduction_b_concat,10
inception_c1_b2_relu1,SecretReLULayer,Inception-C1,0.1536,0.017,0.1379,0.1945,0.1824,0.1921,0,0,0,0,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",inception_c1_b2_1x1,10
inception_c1_b2_3x3,SGXConvBase,Inception-C1,35.1764,1.0615,34.3077,38.0665,37.0387,37.861,0,0,0,0,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",inception_c1_b2_relu1,10
inception_c1_b2_relu2,SecretReLULayer,Inception-C1,0.1532,0.0151,0.1408,0.1908,0.1789,0.1885,0,0,0,0,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",inception_c1_b2_3x3,10
inception_c1_b3_1x1,SGXConvBase,Inception-C1,18.9262,1.4845,18.2341,23.3509,21.2816,22.937,0,0,0,0,327680,114688,"[1, 1280, 8, 8]","[1, 448, 8, 8]",reduction_b_concat,10
inception_c1_b3_relu1,SecretReLULayer,Inception-C1,0.1692,0.0296,0.1425,0.2453,0.2229,0.2408,0,0,0,0,114688,114688,"[1, 448, 8, 8]","[1, 448, 8, 8]",inception_c1_b3_1x1,10
inception_c1_b3_3x3_1,SGXConvBase,Inception-C1,42.6742,7.8871,39.6827,66.3008,55.0021,64.0411,0,0,0,0,114688,98304,"[1, 448, 8, 8]","[1, 384, 8, 8]",inception_c1_b3_relu1,10
inception_c1_b3_relu2,SecretReLULayer,Inception-C1,0.1583,0.0384,0.125,0.2666,0.2235,0.258,0,0,0,0,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",inception_c1_b3_3x3_1,10
inception_c1_b3_3x3_2,SGXConvBase,Inception-C1,36.3355,2.2416,34.7409,41.8953,40.6875,41.6537,0,0,0,0,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",inception_c1_b3_relu2,10
inception_c1_b3_relu3,SecretReLULayer,Inception-C1,0.1574,0.018,0.1328,0.2001,0.1872,0.1975,0,0,0,0,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",inception_c1_b3_3x3_2,10
inception_c1_b4_pool,SecretMaxpool2dLayer,Inception-C1,0.2203,0.0344,0.1817,0.2864,0.2834,0.2858,0,0,0,0,327680,327680,"[1, 1280, 8, 8]","[1, 1280, 8, 8]",reduction_b_concat,10
inception_c1_b4_1x1,SGXConvBase,Inception-C1,5.2778,0.139,5.1479,5.5742,5.5088,5.5611,0,0,0,0,327680,49152,"[1, 1280, 8, 8]","[1, 192, 8, 8]",inception_c1_b4_pool,10
inception_c1_b4_relu,SecretReLULayer,Inception-C1,0.126,0.0158,0.1042,0.1593,0.1515,0.1578,0,0,0,0,49152,49152,"[1, 192, 8, 8]","[1, 192, 8, 8]",inception_c1_b4_1x1,10
inception_c1_concat,SecretConcatenateLayer,Inception-C1,0.1506,0.0129,0.1359,0.1758,0.1711,0.1749,0,0,0,0,0,327680,[],"[1, 1280, 8, 8]",inception_c1_b1_relu;inception_c1_b2_relu2;inception_c1_b3_relu3;inception_c1_b4_relu,10
inception_c2_b1_1x1,SGXConvBase,Inception-C2,10.3216,0.7712,9.9544,12.6253,11.5334,12.4069,0,0,0,0,327680,81920,"[1, 1280, 8, 8]","[1, 320, 8, 8]",inception_c1_concat,10
inception_c2_b1_relu,SecretReLULayer,Inception-C2,0.1494,0.0239,0.1288,0.2154,0.1914,0.2106,0,0,0,0,81920,81920,"[1, 320, 8, 8]","[1, 320, 8, 8]",inception_c2_b1_1x1,10
inception_c2_b2_1x1,SGXConvBase,Inception-C2,15.9771,0.8898,15.4294,18.5985,17.4643,18.3717,0,0,0,0,327680,98304,"[1, 1280, 8, 8]","[1, 384, 8, 8]",inception_c1_concat,10
inception_c2_b2_relu1,SecretReLULayer,Inception-C2,0.1639,0.0258,0.1368,0.2123,0.2119,0.2123,0,0,0,0,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",inception_c2_b2_1x1,10
inception_c2_b2_3x3,SGXConvBase,Inception-C2,35.9386,3.0722,33.9582,43.6203,42.0274,43.3017,0,0,0,0,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",inception_c2_b2_relu1,10
inception_c2_b2_relu2,SecretReLULayer,Inception-C2,0.1773,0.0539,0.1381,0.331,0.2682,0.3184,0,0,0,0,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",inception_c2_b2_3x3,10
inception_c2_b3_1x1,SGXConvBase,Inception-C2,18.8394,1.0742,18.0894,21.9611,20.6408,21.697,0,0,0,0,327680,114688,"[1, 1280, 8, 8]","[1, 448, 8, 8]",inception_c1_concat,10
inception_c2_b3_relu1,SecretReLULayer,Inception-C2,0.1685,0.0224,0.1477,0.2237,0.2071,0.2204,0,0,0,0,114688,114688,"[1, 448, 8, 8]","[1, 448, 8, 8]",inception_c2_b3_1x1,10
inception_c2_b3_3x3_1,SGXConvBase,Inception-C2,40.1462,0.9193,39.3876,42.6445,41.8151,42.4786,0,0,0,0,114688,98304,"[1, 448, 8, 8]","[1, 384, 8, 8]",inception_c2_b3_relu1,10
inception_c2_b3_relu2,SecretReLULayer,Inception-C2,0.173,0.0282,0.1423,0.2355,0.2224,0.2329,0,0,0,0,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",inception_c2_b3_3x3_1,10
inception_c2_b3_3x3_2,SGXConvBase,Inception-C2,35.9172,2.7629,34.6352,44.1717,40.2763,43.3926,0,0,0,0,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",inception_c2_b3_relu2,10
inception_c2_b3_relu3,SecretReLULayer,Inception-C2,0.1638,0.0218,0.1425,0.2209,0.2005,0.2168,0,0,0,0,98304,98304,"[1, 384, 8, 8]","[1, 384, 8, 8]",inception_c2_b3_3x3_2,10
inception_c2_b4_pool,SecretMaxpool2dLayer,Inception-C2,0.2172,0.0291,0.1856,0.2813,0.2645,0.278,0,0,0,0,327680,327680,"[1, 1280, 8, 8]","[1, 1280, 8, 8]",inception_c1_concat,10
inception_c2_b4_1x1,SGXConvBase,Inception-C2,5.5137,0.3832,5.2194,6.6058,6.166,6.5178,0,0,0,0,327680,49152,"[1, 1280, 8, 8]","[1, 192, 8, 8]",inception_c2_b4_pool,10
inception_c2_b4_relu,SecretReLULayer,Inception-C2,0.1303,0.0221,0.109,0.1844,0.1706,0.1817,0,0,0,0,49152,49152,"[1, 192, 8, 8]","[1, 192, 8, 8]",inception_c2_b4_1x1,10
inception_c2_concat,SecretConcatenateLayer,Inception-C2,0.1622,0.0163,0.141,0.1999,0.1898,0.1979,0,0,0,0,0,327680,[],"[1, 1280, 8, 8]",inception_c2_b1_relu;inception_c2_b2_relu2;inception_c2_b3_relu3;inception_c2_b4_relu,10
avgpool,SecretAvgpool2dLayer,Classifier,0.6265,0.1005,0.5615,0.9186,0.7928,0.8935,0,0,0,0,327680,5120,"[1, 1280, 8, 8]","[1, 1280, 1, 1]",inception_c2_concat,10
flatten,SecretFlattenLayer,Classifier,0.115,0.0105,0.101,0.1291,0.1288,0.129,0,0,0,0,0,5120,[],"[1, 1280]",avgpool,10
fc,SGXLinearBase,Classifier,1.4275,0.1918,1.2878,1.9727,1.7594,1.9301,0,0,0,0,5120,4000,"[1, 1280]","[1, 1000]",flatten,10
output,SecretOutputLayer,Classifier,0.0013,0.0001,0.0011,0.0015,0.0015,0.0015,0,0,0,0,4000,4,"[1, 1000]",[1],fc,10
